                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+2.8333334811031818e-01,                     18,                      1,                      0,-2.9771456029266119e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.0000001564621925e-01,                     19,                      1,                      0,-2.9606255702674389e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.1666668318212032e-01,                     20,                      1,                      0,-2.9430605936795473e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.3333335071802139e-01,                     21,                      1,                      0,-2.9244415927678347e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.5000001825392246e-01,                     22,                      1,                      0,-2.9047592543065548e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.6666668578982353e-01,                     23,                      1,                      0,-2.8846492059528828e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+3.8333335332572460e-01,                     24,                      1,                      0,-2.8634562622755766e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.0000002086162567e-01,                     25,                      1,                      0,-2.8411706443876028e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.1666668839752674e-01,                     26,                      1,                      0,-2.8184265829622746e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.3333335593342781e-01,                     27,                      1,                      0,-2.7945688925683498e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.5000002346932888e-01,                     28,                      1,                      0,-2.7695868629962206e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.6666669100522995e-01,                     29,                      1,                      0,-2.7447592001408339e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.8333335854113102e-01,                     30,                      1,                      0,-2.7187853120267391e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.0000002607703209e-01,                     31,                      1,                      0,-2.6922991964966059e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.1666669361293316e-01,                     32,                      1,                      0,-2.6652896776795387e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.3333336114883423e-01,                     33,                      1,                      0,-2.6371011044830084e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.5000002868473530e-01,                     34,                      1,                      0,-2.6090117171406746e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.6666669622063637e-01,                     35,                      1,                      0,-2.5803660973906517e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.8333336375653744e-01,                     36,                      1,                      0,-2.5511533021926880e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.0000003129243851e-01,                     37,                      1,                      0,-2.5213628541678190e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.1666669882833958e-01,                     38,                      1,                      0,-2.4916287511587143e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.3333336636424065e-01,                     39,                      1,                      0,-2.4612960405647755e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.5000003390014172e-01,                     40,                      1,                      0,-2.4309994187206030e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.6666670143604279e-01,                     41,                      1,                      0,-2.4000839330255985e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.8333336897194386e-01,                     42,                      1,                      0,-2.3691849783062935e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.0000003650784492e-01,                     43,                      1,                      0,-2.3376485332846642e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.1666670404374599e-01,                     44,                      1,                      0,-2.3067549336701632e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.3333337157964706e-01,                     45,                      1,                      0,-2.2752061486244202e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.5000003911554813e-01,                     46,                      1,                      0,-2.2436387371271849e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.6666670665144920e-01,                     47,                      1,                      0,-2.2120450157672167e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.8333337418735027e-01,                     48,                      1,                      0,-2.1810620091855526e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.0000004172325134e-01,                     49,                      1,                      0,-2.1493933163583279e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.1666670925915241e-01,                     50,                      1,                      0,-2.1183218341320753e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.3333337679505348e-01,                     51,                      1,                      0,-2.0871968008577824e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.5000004433095455e-01,                     52,                      1,                      0,-2.0560123957693577e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.6666671186685562e-01,                     53,                      1,                      0,-2.0254084374755621e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
