                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+3.5000001825392246e-01,                     22,                      1,                    456,                     -1,                    0x1,+1.7988255310058594e+02,-1.8750067949295044e+00,-6.8540125539584551e-06,+7.8293327533174306e-05,+3.8839175831526518e-03,+4.3677218855009414e-06,                      3,+1.2455031275749207e-01,
+3.6666668578982353e-01,                     23,                      1,                    456,                     -1,                    0x1,+1.7989553833007812e+02,-1.8750082254409790e+00,-8.2151036622235551e-06,+8.5690429841633886e-05,+3.8839015178382397e-03,+4.7925600483722519e-06,                      3,+1.3754370808601379e-01,
+3.8333335332572460e-01,                     24,                      1,                    456,                     -1,                    0x1,+1.7990917968750000e+02,-1.8750097751617432e+00,-9.7583852038951591e-06,+9.3186703452374786e-05,+3.8838870823383331e-03,+5.2314253480290063e-06,                      3,+1.5118673443794250e-01,
+4.0000002086162567e-01,                     25,                      1,                    456,                     -1,                    0x1,+1.7992347717285156e+02,-1.8750114440917969e+00,-1.1497560080897529e-05,+1.0102109808940440e-04,+3.8838670589029789e-03,+5.6832295740605332e-06,                      3,+1.6547940671443939e-01,
+4.1666668839752674e-01,                     26,                      1,                    456,                     -1,                    0x1,+1.7993841552734375e+02,-1.8750134706497192e+00,-1.3446549928630702e-05,+1.0919414489762858e-04,+3.8838488981127739e-03,+6.1482310229621362e-06,                      3,+1.8042172491550446e-01,
+4.3333335593342781e-01,                     27,                      1,                    456,                     -1,                    0x1,+1.7995401000976562e+02,-1.8750156164169312e+00,-1.5619289115420543e-05,+1.1722956696758047e-04,+3.8838288746774197e-03,+6.6240581872989424e-06,                      3,+1.9601368904113770e-01,
+4.5000002346932888e-01,                     28,                      1,                    456,                     -1,                    0x1,+1.7997024536132812e+02,-1.8750180006027222e+00,-1.8029697457677685e-05,+1.2560479808598757e-04,+3.8838072214275599e-03,+7.1094582381192595e-06,                      3,+2.1225526928901672e-01,
+4.6666669100522995e-01,                     29,                      1,                    456,                     -1,                    0x1,+1.7998713684082031e+02,-1.8750207424163818e+00,-2.0691919417004101e-05,+1.3408201630227268e-04,+3.8837839383631945e-03,+7.6066899055149406e-06,                      3,+2.2914648056030273e-01,
+4.8333335854113102e-01,                     30,                      1,                    456,                     -1,                    0x1,+1.8000468444824219e+02,-1.8750236034393311e+00,-2.3619850253453478e-05,+1.4266186917666346e-04,+3.8837590254843235e-03,+8.1113503256347030e-06,                      3,+2.4668730795383453e-01,
+5.0000002607703209e-01,                     31,                      1,                    456,                     -1,                    0x1,+1.8002287292480469e+02,-1.8750268220901489e+00,-2.6827370675164275e-05,+1.5158344467636198e-04,+3.8837287575006485e-03,+8.6240970631479286e-06,                      3,+2.6487776637077332e-01,
