                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+6.0000003129243851e-01,                     37,                      1,                      4,                      1,                    0x2,+7.6718530273437500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8835194427520037e-03,-3.6519401391821305e-10,                      3,+3.8725453615188599e-01,
+6.1666669882833958e-01,                     38,                      1,                      4,                      1,                    0x2,+7.6716259765625000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8834754377603531e-03,-3.8697842152934925e-10,                      3,+4.0996733307838440e-01,
+6.3333336636424065e-01,                     39,                      1,                      4,                      1,                    0x2,+7.6713922119140625e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8834286388009787e-03,-4.0936731782181823e-10,                      3,+4.3332898616790771e-01,
+6.5000003390014172e-01,                     40,                      1,                      4,                      1,                    0x2,+7.6711523437500000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8833792787045240e-03,-4.3235012792131045e-10,                      3,+4.5733949542045593e-01,
+6.6666670143604279e-01,                     41,                      1,                      4,                      1,                    0x2,+7.6709057617187500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8833264261484146e-03,-4.5591438957437447e-10,                      3,+4.8199886083602905e-01,
+6.8333336897194386e-01,                     42,                      1,                      4,                      1,                    0x2,+7.6706524658203125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8832705467939377e-03,-4.8004594743744633e-10,                      3,+5.0730705261230469e-01,
+7.0000003650784492e-01,                     43,                      1,                      4,                      1,                    0x2,+7.6703930664062500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8832111749798059e-03,-5.0472881429897143e-10,                      3,+5.3326410055160522e-01,
+7.1666670404374599e-01,                     44,                      1,                      4,                      1,                    0x2,+7.6701269531250000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8831485435366631e-03,-5.2994486576807276e-10,                      3,+5.5986994504928589e-01,
+7.3333337157964706e-01,                     45,                      1,                      4,                      1,                    0x2,+7.6698547363281250e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8830819539725780e-03,-5.5567433987491199e-10,                      3,+5.8712464570999146e-01,
+7.5000003911554813e-01,                     46,                      1,                      4,                      1,                    0x2,+7.6695751953125000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8830114062875509e-03,-5.8189536522590402e-10,                      3,+6.1502814292907715e-01,
+7.6666670665144920e-01,                     47,                      1,                      4,                      1,                    0x2,+7.6692901611328125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8829371333122253e-03,-6.0858357242565830e-10,                      3,+6.4358037710189819e-01,
+7.8333337418735027e-01,                     48,                      1,                      4,                      1,                    0x2,+7.6689978027343750e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8828586693853140e-03,-6.3571209407697893e-10,                      3,+6.7278146743774414e-01,
+8.0000004172325134e-01,                     49,                      1,                      4,                      1,                    0x2,+7.6686993408203125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8827757816761732e-03,-6.6325206438122564e-10,                      3,+7.0263123512268066e-01,
+8.1666670925915241e-01,                     50,                      1,                      4,                      1,                    0x2,+7.6683941650390625e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8826882373541594e-03,-6.9117173095989415e-10,                      3,+7.3312979936599731e-01,
+8.3333337679505348e-01,                     51,                      1,                      4,                      1,                    0x2,+7.6680828857421875e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8825962692499161e-03,-7.1943695445497724e-10,                      3,+7.6427710056304932e-01,
+8.5000004433095455e-01,                     52,                      1,                      4,                      1,                    0x2,+7.6677648925781250e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8824996445327997e-03,-7.4801098648435982e-10,                      3,+7.9607313871383667e-01,
+8.6666671186685562e-01,                     53,                      1,                      4,                      1,                    0x2,+7.6674407958984375e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8823974318802357e-03,-7.7685297084073568e-10,                      3,+8.2851785421371460e-01,
+8.8333337940275669e-01,                     54,                      1,                      4,                      1,                    0x2,+7.6671093750000000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8822903297841549e-03,-8.0592083007147153e-10,                      3,+8.6161130666732788e-01,
+9.0000004693865776e-01,                     55,                      1,                      4,                      1,                    0x2,+7.6667724609375000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.8821778725832701e-03,-8.3516854543219665e-10,                      3,+8.9535337686538696e-01,
+9.1666671447455883e-01,                     56,                      1,                      4,                      1,                    0x2,+7.6664282226562500e+02,+1.8749978542327881e+00,-2.0887148366455222e-06,-2.9651326258317567e-05,-3.8820595946162939e-03,+2.4763470719335601e-05,                      3,+9.2974412441253662e-01,
+9.3333338201045990e-01,                     57,                      1,                      4,                      1,                    0x2,+7.6660778808593750e+02,+1.8749926090240479e+00,-7.3758328653639182e-06,-8.9971224952023476e-05,-3.8819354958832264e-03,+5.1361708756303415e-05,                      3,+9.6478348970413208e-01,
+9.5000004954636097e-01,                     58,                      1,                      4,                      1,                    0x2,+7.6657208251953125e+02,+1.8749828338623047e+00,-1.7111804481828585e-05,-1.8104712944477797e-04,-3.8818055763840675e-03,+7.8866731200832874e-05,                      3,+1.0004714727401733e+00,
+9.6666671708226204e-01,                     59,                      1,                      4,                      1,                    0x2,+7.6653576660156250e+02,+1.8749674558639526e+00,-3.2555100915487856e-05,-3.0240218620747328e-04,-3.8816691376268864e-03,+1.0717113764258102e-04,                      3,+1.0368080139160156e+00,
+9.8333338461816311e-01,                     60,                      1,                      4,                      1,                    0x2,+7.6649877929687500e+02,+1.8749450445175171e+00,-5.5010870710248128e-05,-4.5427482109516859e-04,-3.8815264124423265e-03,+1.3619811215903610e-04,                      3,+1.0737931728363037e+00,
+1.0000000521540642e+00,                     61,                      1,                      4,                      1,                    0x2,+7.6646112060546875e+02,+1.8749141693115234e+00,-8.5828534793108702e-05,-6.3571135979145765e-04,-3.8813771679997444e-03,+1.6588222933933139e-04,                      3,+1.1114268302917480e+00,
+1.0166667196899652e+00,                     62,                      1,                      4,                      1,                    0x2,+7.6642285156250000e+02,+1.8748736381530762e+00,-1.2639640772249550e-04,-8.4695022087544203e-04,-3.8812209386378527e-03,+1.9612810865510255e-04,                      3,+1.1497089862823486e+00,
+1.0333333872258663e+00,                     63,                      1,                      4,                      1,                    0x2,+7.6638391113281250e+02,+1.8748219013214111e+00,-1.7814070452004671e-04,-1.0870377300307155e-03,-3.8810577243566513e-03,+2.2687902674078941e-04,                      3,+1.1886396408081055e+00,
+1.0500000547617674e+00,                     64,                      1,                      4,                      1,                    0x2,+7.6634436035156250e+02,+1.8747575283050537e+00,-2.4251893046312034e-04,-1.3557354686781764e-03,-3.8808868266642094e-03,+2.5803007883951068e-04,                      3,+1.2282187938690186e+00,
+1.0666667222976685e+00,                     65,                      1,                      4,                      1,                    0x2,+7.6630413818359375e+02,+1.8746789693832397e+00,-3.2101856777444482e-04,-1.6523281810805202e-03,-3.8807084783911705e-03,+2.8951786225661635e-04,                      3,+1.2684463262557983e+00,
+1.0833333898335695e+00,                     66,                      1,                      4,                      1,                    0x2,+7.6626324462890625e+02,+1.8745847940444946e+00,-4.1515158955007792e-04,-1.9763389136642218e-03,-3.8805224467068911e-03,+3.2124784775078297e-04,                      3,+1.3093221187591553e+00,
+1.1000000573694706e+00,                     67,                      1,                      4,                      1,                    0x2,+7.6622174072265625e+02,+1.8744735717773438e+00,-5.2645144751295447e-04,-2.3270526435226202e-03,-3.8803287316113710e-03,+3.5314168781042099e-04,                      3,+1.3508464097976685e+00,
+1.1166667249053717e+00,                     68,                      1,                      4,                      1,                    0x2,+7.6617956542968750e+02,+1.8743435144424438e+00,-6.5646832808852196e-04,-2.7035155799239874e-03,-3.8801261689513922e-03,+3.8510814192704856e-04,                      3,+1.3930189609527588e+00,
+1.1333333924412727e+00,                     69,                      1,                      4,                      1,                    0x2,+7.6613671875000000e+02,+1.8741931915283203e+00,-8.0676539801061153e-04,-3.1052508857101202e-03,-3.8799152243882418e-03,+4.1706368210725486e-04,                      3,+1.4358396530151367e+00,
+1.1500000599771738e+00,                     70,                      1,                      4,                      1,                    0x2,+7.6609326171875000e+02,+1.8740210533142090e+00,-9.7891595214605331e-04,-3.5313048865646124e-03,-3.8796956650912762e-03,+4.4893423910252750e-04,                      3,+1.4793086051940918e+00,
+1.1666667275130749e+00,                     71,                      1,                      4,                      1,                    0x2,+7.6604913330078125e+02,+1.8738255500793457e+00,-1.1744973016902804e-03,-3.9804857224225998e-03,-3.8794674910604954e-03,+4.8062187852337956e-04,                      3,+1.5234256982803345e+00,
+1.1833333950489759e+00,                     72,                      1,                      4,                      1,                    0x2,+7.6600439453125000e+02,+1.8736048936843872e+00,-1.3950885040685534e-03,-4.4525545090436935e-03,-3.8792295381426811e-03,+5.1204947521910071e-04,                      3,+1.5681909322738647e+00,
+1.2000000625848770e+00,                     73,                      1,                      4,                      1,                    0x2,+7.6595898437500000e+02,+1.8733577728271484e+00,-1.6422669868916273e-03,-4.9458425492048264e-03,-3.8789822719991207e-03,+5.4315227316692472e-04,                      3,+1.6136041879653931e+00,
+1.2166667301207781e+00,                     74,                      1,                      4,                      1,                    0x2,+7.6591290283203125e+02,+1.8730823993682861e+00,-1.9176014466211200e-03,-5.4598730057477951e-03,-3.8787249941378832e-03,+5.7381589431315660e-04,                      3,+1.6596653461456299e+00,
+1.2333333976566792e+00,                     75,                      1,                      4,                      1,                    0x2,+7.6586621093750000e+02,+1.8727773427963257e+00,-2.2226530127227306e-03,-5.9934537857770920e-03,-3.8784579373896122e-03,+6.0400011716410518e-04,                      3,+1.7063744068145752e+00,
+1.2500000651925802e+00,                     76,                      1,                      4,                      1,                    0x2,+7.6581884765625000e+02,+1.8724410533905029e+00,-2.5589664001017809e-03,-6.5456312149763107e-03,-3.8781799376010895e-03,+6.3360237982124090e-04,                      3,+1.7537313699722290e+00,
+1.2666667327284813e+00,                     77,                      1,                      4,                      1,                    0x2,+7.6577081298828125e+02,+1.8720719814300537e+00,-2.9280702583491802e-03,-7.1154516190290451e-03,-3.8778916932642460e-03,+6.6255859564989805e-04,                      3,+1.8017359972000122e+00,
