                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+4.1666668839752674e-01,                     26,                      1,                      4,                      1,                    0x2,+7.6739276123046875e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7749737966805696e-03,-1.2500260548886644e-10,                      3,+1.8021823465824127e-01,
+4.3333335593342781e-01,                     27,                      1,                      4,                      1,                    0x2,+7.6737719726562500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7738292012363672e-03,-1.3615332472571851e-10,                      3,+1.9579307734966278e-01,
+4.5000002346932888e-01,                     28,                      1,                      4,                      1,                    0x2,+7.6736096191406250e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7726361770182848e-03,-1.4780933421665310e-10,                      3,+2.1201683580875397e-01,
+4.6666669100522995e-01,                     29,                      1,                      4,                      1,                    0x2,+7.6734411621093750e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7713947240263224e-03,-1.5997334013029274e-10,                      3,+2.2888952493667603e-01,
+4.8333335854113102e-01,                     30,                      1,                      4,                      1,                    0x2,+7.6732659912109375e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7701046094298363e-03,-1.7264774332392818e-10,                      3,+2.4641112983226776e-01,
+5.0000002607703209e-01,                     31,                      1,                      4,                      1,                    0x2,+7.6730841064453125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7687660660594702e-03,-1.8583441729891348e-10,                      3,+2.6458165049552917e-01,
+5.1666669361293316e-01,                     32,                      1,                      4,                      1,                    0x2,+7.6728961181640625e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7673783954232931e-03,-1.9953484697854407e-10,                      3,+2.8340110182762146e-01,
+5.3333336114883423e-01,                     33,                      1,                      4,                      1,                    0x2,+7.6727014160156250e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7659418303519487e-03,-2.1374979564114938e-10,                      3,+3.0286943912506104e-01,
+5.5000002868473530e-01,                     34,                      1,                      4,                      1,                    0x2,+7.6725000000000000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7644566036760807e-03,-2.2847965186478802e-10,                      3,+3.2298666238784790e-01,
+5.6666669622063637e-01,                     35,                      1,                      4,                      1,                    0x2,+7.6722924804687500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7629222497344017e-03,-2.4372379114900866e-10,                      3,+3.4375280141830444e-01,
+5.8333336375653744e-01,                     36,                      1,                      4,                      1,                    0x2,+7.6720782470703125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7613383028656244e-03,-2.5948118653751351e-10,                      3,+3.6516782641410828e-01,
+6.0000003129243851e-01,                     37,                      1,                      4,                      1,                    0x2,+7.6718579101562500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7597056943923235e-03,-2.7574978411770701e-10,                      3,+3.8723173737525940e-01,
+6.1666669882833958e-01,                     38,                      1,                      4,                      1,                    0x2,+7.6716302490234375e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7580234929919243e-03,-2.9252628097609090e-10,                      3,+4.0994453430175781e-01,
+6.3333336636424065e-01,                     39,                      1,                      4,                      1,                    0x2,+7.6713970947265625e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7562914658337831e-03,-3.0980715215456200e-10,                      3,+4.3330618739128113e-01,
+6.5000003390014172e-01,                     40,                      1,                      4,                      1,                    0x2,+7.6711566162109375e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7545100785791874e-03,-3.2758715184932896e-10,                      3,+4.5731669664382935e-01,
+6.6666670143604279e-01,                     41,                      1,                      4,                      1,                    0x2,+7.6709100341796875e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7526786327362061e-03,-3.4586017383375633e-10,                      3,+4.8197606205940247e-01,
+6.8333336897194386e-01,                     42,                      1,                      4,                      1,                    0x2,+7.6706573486328125e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7507978267967701e-03,-3.6461883512473037e-10,                      3,+5.0728428363800049e-01,
+7.0000003650784492e-01,                     43,                      1,                      4,                      1,                    0x2,+7.6703973388671875e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7488664966076612e-03,-3.8385430944920529e-10,                      3,+5.3324127197265625e-01,
+7.1666670404374599e-01,                     44,                      1,                      4,                      1,                    0x2,+7.6701312255859375e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7468853406608105e-03,-4.0355652153323263e-10,                      3,+5.5984717607498169e-01,
+7.3333337157964706e-01,                     45,                      1,                      4,                      1,                    0x2,+7.6698590087890625e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7448534276336432e-03,-4.2371373076832697e-10,                      3,+5.8710181713104248e-01,
+7.5000003911554813e-01,                     46,                      1,                      4,                      1,                    0x2,+7.6695800781250000e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7427709903568029e-03,-4.4431300305625143e-10,                      3,+6.1500531435012817e-01,
+7.6666670665144920e-01,                     47,                      1,                      4,                      1,                    0x2,+7.6692944335937500e+02,+1.8750000000000000e+00,+0.0000000000000000e+00,-8.7422776573475858e-08,-3.7406384944915771e-03,-4.6533935038617358e-10,                      3,+6.4355760812759399e-01,
