                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+4.5000002346932888e-01,                     28,                      1,                      0,-6.7916390253230929e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.6666669100522995e-01,                     29,                      1,                      0,-6.7307363497093320e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.8333335854113102e-01,                     30,                      1,                      0,-6.6586281172931194e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.0000002607703209e-01,                     31,                      1,                      0,-6.5881729824468493e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.1666669361293316e-01,                     32,                      1,                      0,-6.5193371847271919e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.3333336114883423e-01,                     33,                      1,                      0,-6.4456358086317778e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.5000002868473530e-01,                     34,                      1,                      0,-6.3734810100868344e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.6666669622063637e-01,                     35,                      1,                      0,-6.2963884556666017e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.8333336375653744e-01,                     36,                      1,                      0,-6.2207685550674796e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.0000003129243851e-01,                     37,                      1,                      0,-6.1401381390169263e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.1666669882833958e-01,                     38,                      1,                      0,-6.0609076172113419e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.3333336636424065e-01,                     39,                      1,                      0,-5.9830414829775691e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.5000003390014172e-01,                     40,                      1,                      0,-5.9000548208132386e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.6666670143604279e-01,                     41,                      1,                      0,-5.8183597866445780e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.8333336897194386e-01,                     42,                      1,                      0,-5.7314732111990452e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.0000003650784492e-01,                     43,                      1,                      0,-5.6522543309256434e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.1666670404374599e-01,                     44,                      1,                      0,-5.5677758064121008e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.3333337157964706e-01,                     45,                      1,                      0,-5.4844474652782083e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.5000003911554813e-01,                     46,                      1,                      0,-5.4022367112338543e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.6666670665144920e-01,                     47,                      1,                      0,-5.3146627033129334e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.8333337418735027e-01,                     48,                      1,                      0,-5.2281393436715007e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.0000004172325134e-01,                     49,                      1,                      0,-5.1426357822492719e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.1666670925915241e-01,                     50,                      1,                      0,-5.0581217510625720e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.3333337679505348e-01,                     51,                      1,                      0,-4.9745664000511169e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.5000004433095455e-01,                     52,                      1,                      0,-4.8919388791546226e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.6666671186685562e-01,                     53,                      1,                      0,-4.8102109576575458e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+8.8333337940275669e-01,                     54,                      1,                      0,-4.7229052870534360e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.0000004693865776e-01,                     55,                      1,                      0,-4.6428889618255198e-04,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.1666671447455883e-01,                     56,                      1,                      0,+1.7661052988842130e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.3333338201045990e-01,                     57,                      1,                      0,+3.9957542903721333e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.5000004954636097e-01,                     58,                      1,                      0,+6.1439685523509979e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.6666671708226204e-01,                     59,                      1,                      0,+8.2073612138628960e-03,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+9.8333338461816311e-01,                     60,                      1,                      0,+1.0184469632804394e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0000000521540642e+00,                     61,                      1,                      0,+1.2075091712176800e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0166667196899652e+00,                     62,                      1,                      0,+1.3878993690013885e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0333333872258663e+00,                     63,                      1,                      0,+1.5596562996506691e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0500000547617674e+00,                     64,                      1,                      0,+1.7227517440915108e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0666667222976685e+00,                     65,                      1,                      0,+1.8772194162011147e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+1.0833333898335695e+00,                     66,                      1,                      0,+2.0230911672115326e-02,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
