                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+5.8333336375653744e-01,                     36,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6303082189752138e+02,-1.9123063854259118e+02,+1.1821098631324790e+02,+2.8982737064361572e+00,-3.8224493619054556e-03,-2.5948118653751351e-10,                    0x3,                      0,                      0,-1.2659461498260498e+00,+3.1425505876541138e-01,+4.9858684651553631e-03,-2.9758034258975385e-08,+4.8680671170586720e-05,-9.4544316819877849e-10,                    0x3,                      0,                      0,-2.2671668529510498e+00,+5.6279540061950684e-01,+8.9291287586092949e-03,-5.6828138639275494e-08,+9.4106064352672547e-05,-1.8476452590121539e-09,                    0x1,                      0,                      0,+3.6853894591331482e-01,
+6.0000003129243851e-01,                     37,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6300940791043627e+02,-1.9122532279243626e+02,+1.1821098500831675e+02,+2.8982737064361572e+00,-3.8216125685721636e-03,-2.7574978411770701e-10,                    0x3,                      0,                      0,-1.3037320375442505e+00,+3.2363492250442505e-01,+5.1335622556507587e-03,-3.0707223430681552e-08,+5.0201291742268950e-05,-9.7611474458858538e-10,                    0x3,                      0,                      0,-2.2671430110931396e+00,+5.6278949975967407e-01,+8.9270798489451408e-03,-5.6951346749656295e-08,+9.1237227024976164e-05,-1.8402944723661108e-09,                    0x1,                      0,                      0,+3.9060285687446594e-01,
+6.1666669882833958e-01,                     38,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6298736416224358e+02,-1.9121985071207698e+02,+1.1821098364918657e+02,+2.8982737064361572e+00,-3.8207494653761387e-03,-2.9252628097609090e-10,                    0x3,                      0,                      0,-1.3415175676345825e+00,+3.3301469683647156e-01,+5.2811531350016594e-03,-3.1657901189419135e-08,+5.1792998419841751e-05,-1.0065911437706632e-09,                    0x3,                      0,                      0,-2.2671175003051758e+00,+5.6278312206268311e-01,+8.9249629527330399e-03,-5.7040661971541340e-08,+9.5502393378410488e-05,-1.8285838399023646e-09,                    0x1,                      0,                      0,+4.1331565380096436e-01,
+6.3333336636424065e-01,                     39,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6296469065897486e+02,-1.9121422230300945e+02,+1.1821098223375741e+02,+2.8982737064361572e+00,-3.8198600523173809e-03,-3.0980715215456200e-10,                    0x3,                      0,                      0,-1.3793026208877563e+00,+3.4239435195922852e-01,+5.4286378435790539e-03,-3.2609619893264608e-08,+5.3360658057499677e-05,-1.0368522707082661e-09,                    0x3,                      0,                      0,-2.2670900821685791e+00,+5.6277632713317871e-01,+8.9227780699729919e-03,-5.7103118678014653e-08,+9.4059570983517915e-05,-1.8156675052338755e-09,                    0x1,                      0,                      0,+4.3667730689048767e-01,
+6.5000003390014172e-01,                     40,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6294138740856857e+02,-1.9120843756720319e+02,+1.1821098076039083e+02,+2.8982737064361572e+00,-3.8189445622265339e-03,-3.2758715184932896e-10,                    0x3,                      0,                      0,-1.4170871973037720e+00,+3.5177388787269592e-01,+5.5760131217539310e-03,-3.3561711632046354e-08,+5.4928044846747071e-05,-1.0667998706637150e-09,                    0x3,                      0,                      0,-2.2670612335205078e+00,+5.6276917457580566e-01,+8.9205252006649971e-03,-5.7125500774191096e-08,+9.4043200078886002e-05,-1.7968558863046269e-09,                    0x1,                      0,                      0,+4.6068781614303589e-01,
+6.6666670143604279e-01,                     41,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6291745441897382e+02,-1.9120249650663027e+02,+1.1821097922790985e+02,+2.8982737064361572e+00,-3.8180025294423103e-03,-3.4586017383375633e-10,                    0x3,                      0,                      0,-1.4548712968826294e+00,+3.6115333437919617e-01,+5.7232757098972797e-03,-3.4513561786297942e-08,+5.6518929341109470e-05,-1.0963799867980129e-09,                    0x3,                      0,                      0,-2.2670304775238037e+00,+5.6276154518127441e-01,+8.9182043448090553e-03,-5.7111005702381590e-08,+9.5453062385786325e-05,-1.7748068570355713e-09,                    0x1,                      0,                      0,+4.8534718155860901e-01,
+6.8333336897194386e-01,                     42,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6289289169816124e+02,-1.9119639912326809e+02,+1.1821097763458540e+02,+2.8982737064361572e+00,-3.8170341867953539e-03,-3.6461883512473037e-10,                    0x3,                      0,                      0,-1.4926549196243286e+00,+3.7053260207176208e-01,+5.8704218827188015e-03,-3.5464456260569932e-08,+5.8109526435146108e-05,-1.1255210097260715e-09,                    0x3,                      0,                      0,-2.2669978141784668e+00,+5.6275343894958496e-01,+8.9158136397600174e-03,-5.7053664903605750e-08,+9.5435818366240710e-05,-1.7484612646612163e-09,                    0x1,                      0,                      0,+5.1065540313720703e-01,
+7.0000003650784492e-01,                     43,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6286769925604034e+02,-1.9119014541957534e+02,+1.1821097597915009e+02,+2.8982737064361572e+00,-3.8160388357937336e-03,-3.8385430944920529e-10,                    0x3,                      0,                      0,-1.5304378271102905e+00,+3.7991175055503845e-01,+6.0174479149281979e-03,-3.6413670301271850e-08,+5.9723606682382524e-05,-1.1541277933346805e-09,                    0x3,                      0,                      0,-2.2669630050659180e+00,+5.6274485588073730e-01,+8.9133521541953087e-03,-5.6952838889401391e-08,+9.6844807558227330e-05,-1.7164069054942388e-09,                    0x1,                      0,                      0,+5.3661245107650757e-01,
+7.1666670404374599e-01,                     44,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6284187710253150e+02,-1.9118373539801337e+02,+1.1821097425927765e+02,+2.8982737064361572e+00,-3.8150169420987368e-03,-4.0355652153323263e-10,                    0x3,                      0,                      0,-1.5682202577590942e+00,+3.8929075002670288e-01,+6.1643510125577450e-03,-3.7360351257120783e-08,+6.1313592595979571e-05,-1.1821331691308501e-09,                    0x3,                      0,                      0,-2.2669265270233154e+00,+5.6273573637008667e-01,+8.9108217507600784e-03,-5.6800853798222306e-08,+9.5399147539865226e-05,-1.6803224367478720e-09,                    0x1,                      0,                      0,+5.6321829557418823e-01,
+7.3333337157964706e-01,                     45,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6281542524755503e+02,-1.9117716906104346e+02,+1.1821097247411693e+02,+2.8982737064361572e+00,-3.8139675743877888e-03,-4.2371373076832697e-10,                    0x3,                      0,                      0,-1.6060020923614502e+00,+3.9866963028907776e-01,+6.3111274503171444e-03,-3.8303650029547498e-08,+6.2950835854280740e-05,-1.2094317769495433e-09,                    0x3,                      0,                      0,-2.2668876647949219e+00,+5.6272614002227783e-01,+8.9082187041640282e-03,-5.6597922792889221e-08,+9.8234588222112507e-05,-1.6379163580992895e-09,                    0x1,                      0,                      0,+5.9047299623489380e-01,
+7.5000003911554813e-01,                     46,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6278834370107410e+02,-1.9117044641113750e+02,+1.1821097062175801e+02,+2.8982737064361572e+00,-3.8128911983221769e-03,-4.4431300305625143e-10,                    0x3,                      0,                      0,-1.6437832117080688e+00,+4.0804830193519592e-01,+6.4577735029160976e-03,-3.9242632254854470e-08,+6.4587751694489270e-05,-1.2359565593200728e-09,                    0x3,                      0,                      0,-2.2668464183807373e+00,+5.6271588802337646e-01,+8.9055420830845833e-03,-5.6338929965704665e-08,+9.8214943136554211e-05,-1.5914868312094654e-09,                    0x1,                      0,                      0,+6.1837649345397949e-01,
+7.6666670665144920e-01,                     47,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6276063247496950e+02,-1.9116356745124344e+02,+1.1821096869973913e+02,+2.8982737064361572e+00,-3.8117878139019012e-03,-4.6533935038617358e-10,                    0x3,                      0,                      0,-1.6815636157989502e+00,+4.1742682456970215e-01,+6.6042863763868809e-03,-4.0176313831352672e-08,+6.6200547735206783e-05,-1.2615808397953288e-09,                    0x3,                      0,                      0,-2.2668030261993408e+00,+5.6270515918731689e-01,+8.9027956128120422e-03,-5.6020891037178444e-08,+9.6767755167093128e-05,-1.5374567174930576e-09,                    0x1,                      0,                      0,+6.4692878723144531e-01,
+7.8333337418735027e-01,                     48,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6273229158112196e+02,-1.9115653218430913e+02,+1.1821096670707361e+02,+2.8982737064361572e+00,-3.8106569554656744e-03,-4.8677617492387526e-10,                    0x3,                      0,                      0,-1.7193433046340942e+00,+4.2680513858795166e-01,+6.7506609484553337e-03,-4.1103650261220537e-08,+6.7860572016797960e-05,-1.2862075848829591e-09,                    0x3,                      0,                      0,-2.2667572498321533e+00,+5.6269377470016479e-01,+8.8999737054109573e-03,-5.5640182239358182e-08,+9.9601449619513005e-05,-1.4776045942355154e-09,                    0x1,                      0,                      0,+6.7612981796264648e-01,
+8.0000004172325134e-01,                     49,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6270332103338342e+02,-1.9114934061377173e+02,+1.1821096464171630e+02,+2.8982737064361572e+00,-3.8094981573522091e-03,-5.0860493594484524e-10,                    0x3,                      0,                      0,-1.7571221590042114e+00,+4.3618327379226685e-01,+6.8968944251537323e-03,-4.2023501123367168e-08,+6.9520247052423656e-05,-1.3097285478380627e-09,                    0x3,                      0,                      0,-2.2667088508605957e+00,+5.6268179416656494e-01,+8.8970782235264778e-03,-5.5191048176084223e-08,+9.9580494861584157e-05,-1.4112576662839160e-09,                    0x1,                      0,                      0,+7.0597964525222778e-01,
+8.1666670925915241e-01,                     50,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6267372084368827e+02,-1.9114199274259235e+02,+1.1821096250208349e+02,+2.8982737064361572e+00,-3.8083114195615053e-03,-5.3080573270136711e-10,                    0x3,                      0,                      0,-1.7949002981185913e+00,+4.4556120038032532e-01,+7.0429830811917782e-03,-4.2934747312983745e-08,+7.1203343395609409e-05,-1.3320468061905899e-09,                    0x3,                      0,                      0,-2.2666578292846680e+00,+5.6266909837722778e-01,+8.8941054418683052e-03,-5.4674767824280934e-08,+1.0098577331518754e-04,-1.3390953901293301e-09,                    0x1,                      0,                      0,+7.3647820949554443e-01,
+8.3333337679505348e-01,                     51,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6264349102590984e+02,-1.9113448857421344e+02,+1.1821096028553303e+02,+2.8982737064361572e+00,-3.8070969749242067e-03,-5.5335575011028482e-10,                    0x3,                      0,                      0,-1.8326774835586548e+00,+4.5493891835212708e-01,+7.1889231912791729e-03,-4.3836106300432220e-08,+7.2862298111431301e-05,-1.3529998232897356e-09,                    0x3,                      0,                      0,-2.2666041851043701e+00,+5.6265580654144287e-01,+8.8910590857267380e-03,-5.4081535694194827e-08,+9.9537275673355907e-05,-1.2571809149264368e-09,                    0x1,                      0,                      0,+7.6762551069259644e-01,
+8.5000004433095455e-01,                     52,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6261263159583910e+02,-1.9112682811255343e+02,+1.1821095799039128e+02,+2.8982737064361572e+00,-3.8058545906096697e-03,-5.7623061877620785e-10,                    0x3,                      0,                      0,-1.8704537153244019e+00,+4.6431639790534973e-01,+7.3347114957869053e-03,-4.4726299108788226e-08,+7.4544652306940407e-05,-1.3724937852899188e-09,                    0x3,                      0,                      0,-2.2665476799011230e+00,+5.6264173984527588e-01,+8.8879363611340523e-03,-5.3411564948646628e-08,+1.0094124445458874e-04,-1.1696376089886940e-09,                    0x1,                      0,                      0,+7.9942154884338379e-01,
+8.6666671186685562e-01,                     53,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6258114256930986e+02,-1.9111901136154134e+02,+1.1821095561544637e+02,+2.8982737064361572e+00,-3.8045833352953196e-03,-5.9940369334654520e-10,                    0x3,                      0,                      0,-1.9082291126251221e+00,+4.7369363903999329e-01,+7.4803424067795277e-03,-4.5603972154140138e-08,+7.6274183811619878e-05,-1.3903831419526114e-09,                    0x3,                      0,                      0,-2.2664880752563477e+00,+5.6262695789337158e-01,+8.8847335427999496e-03,-5.2660379168401050e-08,+1.0377188300481066e-04,-1.0733612887392496e-09,                    0x1,                      0,                      0,+8.3186626434326172e-01,
