                simTime,               simFrame,               playerId,              lightMask,               steering,    steeringWheelTorque,                accMask,               accSpeed,           batteryState,            batteryRate,       displayLightMask,              fuelGauge,
+4.5000002346932888e-01,                     28,                      1,                      0,-5.7581154067065654e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.6666669100522995e-01,                     29,                      1,                      0,-5.7723962498812398e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+4.8333335854113102e-01,                     30,                      1,                      0,-5.7868557945539578e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.0000002607703209e-01,                     31,                      1,                      0,-5.8014407500195375e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.1666669361293316e-01,                     32,                      1,                      0,-5.8160996019296363e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.3333336114883423e-01,                     33,                      1,                      0,-5.8307758621367611e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.5000002868473530e-01,                     34,                      1,                      0,-5.8454137530361550e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.6666669622063637e-01,                     35,                      1,                      0,-5.8599521679525424e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+5.8333336375653744e-01,                     36,                      1,                      0,-5.8743331976529589e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.0000003129243851e-01,                     37,                      1,                      0,-5.8884921827484504e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.1666669882833958e-01,                     38,                      1,                      0,-5.9023594900509124e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.3333336636424065e-01,                     39,                      1,                      0,-5.9158733023423338e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.5000003390014172e-01,                     40,                      1,                      0,-5.9289611442636669e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.6666670143604279e-01,                     41,                      1,                      0,-5.9415519615413359e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+6.8333336897194386e-01,                     42,                      1,                      0,-5.9535729235449253e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.0000003650784492e-01,                     43,                      1,                      0,-5.9649458705735015e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.1666670404374599e-01,                     44,                      1,                      0,-5.9755940640116023e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.3333337157964706e-01,                     45,                      1,                      0,-5.9854357914446155e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
+7.5000003911554813e-01,                     46,                      1,                      0,-5.9943928931716073e-08,+0.0000000000000000e+00,                      0,                      0,                      0,                      0,                      0,                      0,
