                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+9.6666671708226204e-01,                     59,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6237854323098497e+02,-1.9106875217631850e+02,-4.9627014839271422e-03,+2.8985760211944580e+00,-3.8816691376268864e-03,+1.0717113764258102e-04,                    0x3,                      0,                      0,-2.1350824832916260e+00,+5.2904629707336426e-01,+8.5382983088493347e-03,+7.2882380336523056e-03,+8.1810949268401600e-06,+1.6982645029202104e-03,                    0x3,                      0,                      0,-2.2700905799865723e+00,+5.4627543687820435e-01,+9.0630482882261276e-03,+1.0969585925340652e-01,+2.2830970920040272e-05,+2.8778004925698042e-03,                    0x1,                      0,                      0,+1.0401562452316284e+00,
+9.8333338461816311e-01,                     60,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6234264213328191e+02,-1.9105986332201888e+02,-4.9625190516422672e-03,+2.8987278938293457e+00,-3.8815264124423265e-03,+1.3619811215903610e-04,                    0x3,                      0,                      0,-2.1729512214660645e+00,+5.3801023960113525e-01,+8.6890263482928276e-03,+9.1012278571724892e-03,+8.5616111391573213e-06,+1.7416182672604918e-03,                    0x3,                      0,                      0,-2.2711343765258789e+00,+5.4169577360153198e-01,+9.0623823925852776e-03,+1.0877938568592072e-01,+2.2830970920040272e-05,+2.6012256275862455e-03,                    0x1,                      0,                      0,+1.0771414041519165e+00,
+1.0000000521540642e+00,                     61,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6230610958798508e+02,-1.9105082633455368e+02,-4.9623280044993863e-03,+2.8989093303680420e+00,-3.8813771679997444e-03,+1.6588222933933139e-04,                    0x3,                      0,                      0,-2.2108383178710938e+00,+5.4689460992813110e-01,+8.8397227227687836e-03,+1.0895433835685253e-02,+8.9659088189364411e-06,+1.7810468561947346e-03,                    0x3,                      0,                      0,-2.2722125053405762e+00,+5.3695142269134521e-01,+9.0616848319768906e-03,+1.0765235126018524e-01,+2.4257858967757784e-05,+2.3657151032239199e-03,                    0x1,                      0,                      0,+1.1147750616073608e+00,
+1.0166667196899652e+00,                     62,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6226894528724802e+02,-1.9104164256795843e+02,-4.9621283424984867e-03,+2.8991205692291260e+00,-3.8812209386378527e-03,+1.9612810865510255e-04,                    0x3,                      0,                      0,-2.2487437725067139e+00,+5.5569714307785034e-01,+8.9903855696320534e-03,+1.2665645219385624e-02,+9.3702074082102627e-06,+1.8147525843232870e-03,                    0x3,                      0,                      0,-2.2733209133148193e+00,+5.3205710649490356e-01,+9.0609556064009666e-03,+1.0621267557144165e-01,+2.4257913537439890e-05,+2.0223436877131462e-03,                    0x1,                      0,                      0,+1.1530572175979614e+00,
+1.0333333872258663e+00,                     63,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6223114891887434e+02,-1.9103231341423250e+02,-4.9619195588832023e-03,+2.8993606567382812e+00,-3.8810577243566513e-03,+2.2687902674078941e-04,                    0x3,                      0,                      0,-2.2866683006286621e+00,+5.6441569328308105e-01,+9.1410139575600624e-03,+1.4409455470740795e-02,+9.7982874649460427e-06,+1.8450552597641945e-03,                    0x3,                      0,                      0,-2.2744567394256592e+00,+5.2702188491821289e-01,+9.0601928532123566e-03,+1.0462860763072968e-01,+2.5684801585157402e-05,+1.8181604100391269e-03,                    0x1,                      0,                      0,+1.1919878721237183e+00,
+1.0500000547617674e+00,                     64,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6219272016034017e+02,-1.9102284029503389e+02,-4.9617011468971678e-03,+2.8996293544769287e+00,-3.8808868266642094e-03,+2.5803007883951068e-04,                    0x3,                      0,                      0,-2.3246121406555176e+00,+5.7304835319519043e-01,+9.2916050925850868e-03,+1.6121597960591316e-02,+1.0250150808133185e-05,+1.8690627766773105e-03,                    0x3,                      0,                      0,-2.2756149768829346e+00,+5.2186203002929688e-01,+9.0593947097659111e-03,+1.0272854566574097e-01,+2.7111798772239126e-05,+1.4404508983716369e-03,                    0x1,                      0,                      0,+1.2315670251846313e+00,
+1.0666667222976685e+00,                     65,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6215365868691720e+02,-1.9101322466241342e+02,-4.9614731065403660e-03,+2.8999259471893311e+00,-3.8807084783911705e-03,+2.8951786225661635e-04,                    0x3,                      0,                      0,-2.3625752925872803e+00,+5.8159327507019043e-01,+9.4421571120619774e-03,+1.7799697816371918e-02,+1.0702013241825625e-05,+1.8892675871029496e-03,                    0x3,                      0,                      0,-2.2767927646636963e+00,+5.1658791303634644e-01,+9.0585621073842049e-03,+1.0068598389625549e-01,+2.7111744202557020e-05,+1.2122885091230273e-03,                    0x1,                      0,                      0,+1.2717945575714111e+00,
+1.0833333898335695e+00,                     66,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6211396417310601e+02,-1.9100346799342432e+02,-4.9612354378127752e-03,+2.9002499580383301e+00,-3.8805224467068911e-03,+3.2124784775078297e-04,                    0x3,                      0,                      0,-2.4005584716796875e+00,+5.9004914760589600e-01,+9.5926709473133087e-03,+1.9439648836851120e-02,+1.1153876585012767e-05,+1.9037987804040313e-03,                    0x3,                      0,                      0,-2.2779860496520996e+00,+5.1121461391448975e-01,+9.0576941147446632e-03,+9.8397053778171539e-02,+2.7111798772239126e-05,+8.7187153985723853e-04,                    0x1,                      0,                      0,+1.3126705884933472e+00,
+1.1000000573694706e+00,                     67,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6207363628575689e+02,-1.9099357178535510e+02,-4.9609876339580259e-03,+2.9006006717681885e+00,-3.8803287316113710e-03,+3.5314168781042099e-04,                    0x3,                      0,                      0,-2.4385616779327393e+00,+5.9841465950012207e-01,+9.7431419417262077e-03,+2.1038560196757317e-02,+1.1629521395661868e-05,+1.9136307528242469e-03,                    0x3,                      0,                      0,-2.2791905403137207e+00,+5.0575488805770874e-01,+9.0567898005247116e-03,+9.5934674143791199e-02,+2.8538686819956638e-05,+5.8991828700527549e-04,                    0x1,                      0,                      0,+1.3541949987411499e+00,
+1.1166667249053717e+00,                     68,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.6203267469306201e+02,-1.9098353755304319e+02,-4.9607286814633946e-03,+2.9009771347045898e+00,-3.8801261689513922e-03,+3.8510814192704856e-04,                    0x3,                      0,                      0,-2.4765846729278564e+00,+6.0668873786926270e-01,+9.8935673013329506e-03,+2.2592958062887192e-02,+1.2152730960224289e-05,+1.9179863156750798e-03,                    0x3,                      0,                      0,-2.2804019451141357e+00,+5.0022357702255249e-01,+9.0558445081114769e-03,+9.3263864517211914e-02,+3.1392573873745278e-05,+2.6133377104997635e-04,                    0x1,                      0,                      0,+1.3963676691055298e+00,
