                simTime,               simFrame,               objectId,               category,                   type,                vismask,                   name,                   dimX,                   dimY,                   dimZ,                   offX,                   offY,                   offZ,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,                      x,                      y,                      z,                      h,                      p,                      r,                  flags,                   type,                 system,               distance,
+3.6666668578982353e-01,                     23,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5960594155675443e+02,-1.9103642779739079e+02,-4.9655565491722705e-03,+2.8937156200408936e+00,-3.8839024491608143e-03,-1.1790781400122796e-06,                    0x3,                      0,                      0,-7.7381622791290283e-01,+1.9584171473979950e-01,+3.1001772731542587e-03,-2.2096418251749128e-04,+9.0372554950590711e-07,-6.2447984419122804e-06,                    0x3,                      0,                      0,-2.2647342681884766e+00,+5.7334464788436890e-01,+9.0734791010618210e-03,-5.5044045438989997e-04,+5.7077395467786118e-06,-1.2099980267521460e-05,                    0x1,                      0,                      0,+1.4075838029384613e-01,
+3.8333335332572460e-01,                     24,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5959273008090554e+02,-1.9103308410631485e+02,-4.9655357721622335e-03,+2.8937118053436279e+00,-3.8838861510157585e-03,-1.2861682989750989e-06,                    0x3,                      0,                      0,-8.1156158447265625e-01,+2.0539794862270355e-01,+3.2513879705220461e-03,-2.2982273367233574e-04,+9.7507233931537485e-07,-6.4254054450429976e-06,                    0x3,                      0,                      0,-2.2647187709808350e+00,+5.7336646318435669e-01,+9.0734036639332771e-03,-5.3151306929066777e-04,+4.2808073885680642e-06,-1.0836419278348330e-05,                    0x1,                      0,                      0,+1.5438641607761383e-01,
+4.0000002086162567e-01,                     25,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5957888951885099e+02,-1.9102958113929523e+02,-4.9655134748831688e-03,+2.8937079906463623e+00,-3.8838686887174845e-03,-1.3958936051494675e-06,                    0x3,                      0,                      0,-8.4930670261383057e-01,+2.1495456993579865e-01,+3.4025958739221096e-03,-2.3834388412069529e-04,+1.0464191291248426e-06,-6.5835179157147650e-06,                    0x3,                      0,                      0,-2.2647023200988770e+00,+5.7338881492614746e-01,+9.0733217075467110e-03,-5.1126902690157294e-04,+4.2808073885680642e-06,-9.4867473308113404e-06,                    0x1,                      0,                      0,+1.6866338253021240e-01,
+4.1666668839752674e-01,                     26,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5956441987443850e+02,-1.9102591888967797e+02,-4.9654891505787318e-03,+2.8937036991119385e+00,-3.8838495966047049e-03,-1.5092624607859761e-06,                    0x3,                      0,                      0,-8.8705152273178101e-01,+2.2451159358024597e-01,+3.5538000520318747e-03,-2.4673552252352238e-04,+1.1415480685172952e-06,-6.8021286097064149e-06,                    0x3,                      0,                      0,-2.2646846771240234e+00,+5.7341170310974121e-01,+9.0732332319021225e-03,-5.0349830416962504e-04,+5.7077359087998047e-06,-1.3116640730004292e-05,                    0x1,                      0,                      0,+1.8358929455280304e-01,
+4.3333335593342781e-01,                     27,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5954932115255860e+02,-1.9102209735082755e+02,-4.9654627992489243e-03,+2.8936996459960938e+00,-3.8838291075080633e-03,-1.6262173403447377e-06,                    0x3,                      0,                      0,-9.2479598522186279e-01,+2.3406898975372314e-01,+3.7050005048513412e-03,-2.5500453193672001e-04,+1.2366771215965855e-06,-7.0172950472624507e-06,                    0x3,                      0,                      0,-2.2646658420562744e+00,+5.7343524694442749e-01,+9.0731373056769371e-03,-4.9614056479185820e-04,+5.7077427300100680e-06,-1.2909985343867447e-05,                    0x1,                      0,                      0,+1.9916413724422455e-01,
+4.5000002346932888e-01,                     28,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5953359335904503e+02,-1.9101811651638599e+02,-4.9654349276500856e-03,+2.8936951160430908e+00,-3.8838072214275599e-03,-1.7433962966606487e-06,                    0x3,                      0,                      0,-9.6254020929336548e-01,+2.4362678825855255e-01,+3.8561974652111530e-03,-2.6265883934684098e-04,+1.3080239114060532e-06,-7.0307373789546546e-06,                    0x3,                      0,                      0,-2.2646462917327881e+00,+5.7345896959304810e-01,+9.0730348601937294e-03,-4.5925841550342739e-04,+4.2808073885680642e-06,-8.0653984468881390e-07,                    0x1,                      0,                      0,+2.1538789570331573e-01,
+4.6666669100522995e-01,                     29,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5951723649888322e+02,-1.9101397637929844e+02,-4.9654045222695328e-03,+2.8936905860900879e+00,-3.8837834727019072e-03,-1.8653229290066520e-06,                    0x3,                      0,                      0,-1.0002840757369995e+00,+2.5318500399589539e-01,+4.0073897689580917e-03,-2.7042382862418890e-04,+1.4269351140683284e-06,-7.3156011239916552e-06,                    0x3,                      0,                      0,-2.2646255493164062e+00,+5.7348334789276123e-01,+9.0729240328073502e-03,-4.6589932753704488e-04,+7.1346717049891595e-06,-1.7091824702220038e-05,                    0x1,                      0,                      0,+2.3226058483123779e-01,
+4.8333335854113102e-01,                     30,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5950025057802372e+02,-1.9100967693292617e+02,-4.9653715831072644e-03,+2.8936860561370850e+00,-3.8837576285004616e-03,-1.9865660760842729e-06,                    0x3,                      0,                      0,-1.0380275249481201e+00,+2.6274362206459045e-01,+4.1585774160921574e-03,-2.7752868481911719e-04,+1.5458464304174413e-06,-7.2745801844575908e-06,                    0x3,                      0,                      0,-2.2646033763885498e+00,+5.7350760698318481e-01,+9.0728038921952248e-03,-4.2629134259186685e-04,+7.1346785261994228e-06,+2.4612561446701875e-06,                    0x1,                      0,                      0,+2.4978218972682953e-01,
+5.0000002607703209e-01,                     31,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5948263560248421e+02,-1.9100521817031992e+02,-4.9653366169196203e-03,+2.8936812877655029e+00,-3.8837303873151541e-03,-2.1103537619637791e-06,                    0x3,                      0,                      0,-1.0757707357406616e+00,+2.7230265736579895e-01,+4.3097599409520626e-03,-2.8447806835174561e-04,+1.6409753698098939e-06,-7.4272702477173880e-06,                    0x3,                      0,                      0,-2.2645802497863770e+00,+5.7353222370147705e-01,+9.0726753696799278e-03,-4.1696298285387456e-04,+5.7077359087998047e-06,-9.1614028860931285e-06,                    0x1,                      0,                      0,+2.6795271039009094e-01,
+5.1666669361293316e-01,                     32,                     +1,                      1,                      1,                    0x7,             New Player,+3.9760000705718994e+00,+1.7120000123977661e+00,+1.4559999704360962e+00,+1.2430000305175781e+00,+0.0000000000000000e+00,+0.0000000000000000e+00,+2.5946439157832560e+02,-1.9100060008436049e+02,-4.9652986101939179e-03,+2.8936765193939209e+00,-3.8837005849927664e-03,-2.2366104985849233e-06,                    0x3,                      0,                      0,-1.1135133504867554e+00,+2.8186208009719849e-01,+4.4609364122152328e-03,-2.9127791640348732e-04,+1.7836689494288294e-06,-7.5753955570689868e-06,                    0x3,                      0,                      0,-2.2645554542541504e+00,+5.7355713844299316e-01,+9.0725366026163101e-03,-4.0799085400067270e-04,+8.5616147771361284e-06,-8.8875176516012289e-06,                    0x1,                      0,                      0,+2.8677213191986084e-01,
