                simTime,               simFrame,               playerId,                 roadId,                 laneId,                  flags,                  roadS,                  roadT,             laneOffset,                 hdgRel,               pitchRel,                rollRel,               roadType,                  pathS,
+3.8333335332572460e-01,                     24,                      1,                      9,                      1,                    0x2,+7.6113305664062500e+02,+1.7500156164169312e+00,+1.5573186828987673e-05,+1.0317167470930144e-04,-3.8838861510157585e-03,-8.5204874267219566e-07,                      3,+1.5107256174087524e-01,
+4.0000002086162567e-01,                     25,                      1,                      9,                      1,                    0x2,+7.6111877441406250e+02,+1.7500170469284058e+00,+1.7103742720792070e-05,+1.0317167470930144e-04,-3.8838686887174845e-03,-9.2689134589818423e-07,                      3,+1.6535359621047974e-01,
+4.1666668839752674e-01,                     26,                      1,                      9,                      1,                    0x2,+7.6110382080078125e+02,+1.7500187158584595e+00,+1.8710954464040697e-05,+1.0364851186750457e-04,-3.8838495966047049e-03,-1.0032139243776328e-06,                      3,+1.8028374016284943e-01,
+4.3333335593342781e-01,                     27,                      1,                      9,                      1,                    0x2,+7.6108825683593750e+02,+1.7500203847885132e+00,+2.0395338651724160e-05,+1.0412534902570769e-04,-3.8838291075080633e-03,-1.0821888736245455e-06,                      3,+1.9586297869682312e-01,
+4.5000002346932888e-01,                     28,                      1,                      9,                      1,                    0x2,+7.6107202148437500e+02,+1.7500221729278564e+00,+2.2157260900712572e-05,+1.0412534902570769e-04,-3.8838072214275599e-03,-1.1621616522461409e-06,                      3,+2.1209132671356201e-01,
+4.6666669100522995e-01,                     29,                      1,                      9,                      1,                    0x2,+7.6105517578125000e+02,+1.7500239610671997e+00,+2.3997115931706503e-05,+1.0460218618391082e-04,-3.8837834727019072e-03,-1.2445302672858816e-06,                      3,+2.2896878421306610e-01,
+4.8333335854113102e-01,                     30,                      1,                      9,                      1,                    0x2,+7.6103759765625000e+02,+1.7500258684158325e+00,+2.5915274818544276e-05,+1.0460218618391082e-04,-3.8837576285004616e-03,-1.3292917628859868e-06,                      3,+2.4649532139301300e-01,
+5.0000002607703209e-01,                     31,                      1,                      9,                      1,                    0x2,+7.6101947021484375e+02,+1.7500278949737549e+00,+2.7912086807191372e-05,+1.0507902334211394e-04,-3.8837303873151541e-03,-1.4164484127832111e-06,                      3,+2.6467093825340271e-01,
+5.1666669361293316e-01,                     32,                      1,                      9,                      1,                    0x2,+7.6100061035156250e+02,+1.7500300407409668e+00,+2.9987693778821267e-05,+1.0555586050031707e-04,-3.8837005849927664e-03,-1.5037956018204568e-06,                      3,+2.8349566459655762e-01,
+5.3333336114883423e-01,                     33,                      1,                      9,                      1,                    0x2,+7.6098114013671875e+02,+1.7500321865081787e+00,+3.2142088457476348e-05,+1.0555586050031707e-04,-3.8836689200252295e-03,-1.5908906334516359e-06,                      3,+3.0296945571899414e-01,
+5.5000002868473530e-01,                     34,                      1,                      9,                      1,                    0x2,+7.6096099853515625e+02,+1.7500343322753906e+00,+3.4375505492789671e-05,+1.0603269765852019e-04,-3.8836351595818996e-03,-1.6823074702188023e-06,                      3,+3.2309231162071228e-01,
